"ASVNumber","tax.Domain","tax.Supergroup","tax.Division","tax.Subdivision","tax.Class","tax.Order","tax.Family","tax.Genus","tax.Species","boot.Domain","boot.Supergroup","boot.Division","boot.Subdivision","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV_00001","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas_bravo_B1",100,100,100,100,100,100,100,100,67
"ASV_00002","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus_prasinos",100,100,100,100,100,100,100,100,100
"ASV_00003","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,96,35,34,28,27,27,27,27,27
"ASV_00004","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Oligotrichida_X","Oligotrichida_XX","Oligotrichida_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00005","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-8","Dino-Group-II-Clade-8_X","Dino-Group-II-Clade-8_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00006","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Teleaulax","Teleaulax_gracilis",100,100,100,100,100,100,100,100,100
"ASV_00007","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA,100,100,100,100,100,43,34,33,30
"ASV_00008","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Plagioselmis","Plagioselmis_prolonga",100,100,100,100,100,100,100,100,100
"ASV_00009","Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa","Sulculeolaria","Sulculeolaria_quadrivalvis",100,100,100,100,100,100,100,93,93
"ASV_00010","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-13","Dino-Group-II-Clade-13_X","Dino-Group-II-Clade-13_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00011","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Mediolabrus","Mediolabrus_comicus",100,100,100,100,100,100,100,100,100
"ASV_00012","Eukaryota","Archaeplastida","Picozoa","Picozoa_subdivision_1","Picomonadea","Picomonadida","Picomonadidae","Picomonas","Picomonas_sp.",100,100,100,100,100,99,99,99,99
"ASV_00013","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae",NA,NA,100,100,100,100,100,100,80,40,40
"ASV_00014","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Tontoniidae","Laboea","Laboea_sp.",100,100,100,100,100,100,100,100,100
"ASV_00015","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-16","Dino-Group-II-Clade-16_X","Dino-Group-II-Clade-16_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00016","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA,100,98,97,97,97,47,24,20,20
"ASV_00017","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Oligotrichida_X","Oligotrichida_XX","Oligotrichida_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00018","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X",NA,NA,100,100,100,100,100,100,100,42,42
"ASV_00019","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00020","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Oligotrichida_X","Oligotrichida_XX","Oligotrichida_XX_sp.",100,100,100,100,100,100,62,62,62
"ASV_00021","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Gymnodinium_sp.",100,100,100,100,100,100,100,98,98
